id_fase,nome,esforco_real_fase,cpi_hist,id_projeto,esforco_estimado_fase,duracao
4,correcao,10.7,2.00164,1,5.2,18
8,correcao,8,1.89286,2,6,15
12,correcao,5.5,1.50778,3,9.6,11
16,correcao,4.3,2.765,4,3.1,11
20,correcao,5,3.18462,5,4.1,9
23,correcao,8.3,1.70046,6,2.9,8
26,correcao,6.2,2.52804,7,26.6,15
30,correcao,3.9,4.17857,8,3.7,8
34,correcao,7.7,1.70955,9,6.3,17
42,correcao,6.3,2.30793,12,4.3,30
46,correcao,30.7,1.79146,13,5.7,16
50,correcao,1.9,1.73333,14,2,14
54,correcao,17.7,1.66458,15,3.6,20
58,correcao,15.2,3.81799,16,4.3,20
62,correcao,13,1.74368,17,5.5,23
66,correcao,7.05,1.42893,18,3.8,21
70,correcao,13.7,2.82334,19,11,31
73,correcao,22.9,1.59125,20,3.9,56
77,correcao,7.1,1.21739,21,1.8,20
81,correcao,11.7,1.71827,22,7.1,16
84,correcao,0.2,1.6703,23,2,30
