id_fase,nome,esforco_real_fase,cpi_hist,id_projeto,esforco_estimado_fase,duracao
1,elaboracao,8.1,1.97561,1,0.9,18
5,elaboracao,9.9,2.2,2,2.9,15
9,elaboracao,9.6,1.18519,3,4.1,11
13,elaboracao,4.3,3.30769,4,0.7,11
17,elaboracao,4.7,2.2381,5,1.5,9
21,elaboracao,4.3,1.59259,6,0.5,8
27,elaboracao,5.8,1.87097,8,1.2,8
31,elaboracao,6.8,3.77778,9,2.4,17
35,elaboracao,4.4,2.93333,10,1.4,16
37,elaboracao,20.6,3.61404,11,5.4,27
39,elaboracao,7.5,1.41509,12,2.6,30
43,elaboracao,21,3.08824,13,2.8,16
47,elaboracao,2.7,1.35,14,1.6,14
51,elaboracao,10.9,2.01852,15,1.6,20
55,elaboracao,14.4,2.48276,16,1.6,20
59,elaboracao,10.3,1.83929,17,1.6,23
63,elaboracao,7,1.75,18,1.1,21
67,elaboracao,13.6,6.47619,19,5.6,31
71,elaboracao,15.1,1.54082,20,2.6,56
74,elaboracao,6,1.46341,21,2,20
78,elaboracao,10.7,1.98148,22,3,16
