est,real,nomeProjeto,dataInicio,dataFim,nomeFase
0.5,0.3,Mindira2,2009-08-12,2009-08-20,ELABORACAODCTS
0,0,Mindira2,2009-08-12,2009-08-20,ELABORACAODCTS
1.4,1.4,Mindira2,2009-08-12,2009-08-20,ELABORACAODCTS
1.0,1.0,Mindira2,2009-08-12,2009-08-20,ELABORACAODCTS
1.4,0.0,Mindira2,2009-08-12,2009-08-20,ELABORACAODCTS
4.0,1.8,Mindira2,2009-08-12,2009-08-20,IMPLEMENTACAO
0.3,0.3,Mindira2,2009-08-12,2009-08-20,IMPLEMENTACAO
4.8,4.0,Mindira2,2009-08-12,2009-08-20,IMPLEMENTACAO
7.9,3.0,Mindira2,2009-08-12,2009-08-20,IMPLEMENTACAO
7.3,7.3,Mindira2,2009-08-12,2009-08-20,IMPLEMENTACAO
1.5,0.5,Mindira2,2009-08-12,2009-08-20,CORRECAO
1.5,0.5,Mindira2,2009-08-12,2009-08-20,CORRECAO
1.8,0.6,Mindira2,2009-08-12,2009-08-20,CORRECAO
2.1,0.7,Mindira2,2009-08-12,2009-08-20,CORRECAO
1.4,0.3,Mindira2,2009-08-12,2009-08-20,CORRECAO
