id_fase,nome,esforco_real_fase,cpi_hist,id_projeto,esforco_estimado_fase,duracao
2,implementacao,58.5,1.79032,1,1.9,18
6,implementacao,85.5,1.71583,2,3.5,15
10,implementacao,45.9,1.22247,3,4.9,11
14,implementacao,33.7,2.40506,4,1.2,11
18,implementacao,38,3.9537,5,2.3,9
22,implementacao,24.3,1.49738,6,1.9,8
24,implementacao,31.1,1.89634,7,12.1,15
28,implementacao,30.9,4.07778,8,1.7,8
32,implementacao,53.2,1.43541,9,4.9,17
36,implementacao,44,2.30476,10,3,16
38,implementacao,134.1,1.3279,11,7,27
40,implementacao,43.1,2.26906,12,3.1,30
44,implementacao,181.6,1.64448,13,4.2,16
48,implementacao,16.2,1.89,14,2.4,14
52,implementacao,48.2,1.49242,15,2.2,20
56,implementacao,114.1,4.09236,16,2.4,20
60,implementacao,25.6,1.37023,17,2.3,23
64,implementacao,47.7,1.19432,18,1.3,21
68,implementacao,106.3,4.47388,19,7.8,31
75,implementacao,63.8,1.23322,21,4.5,20
79,implementacao,81.4,1.64758,22,4.8,16
82,implementacao,37.6,2.42581,23,0.8,30
