sub;nomeFase;responsavel;est;real;dataInicio;dataFim;numeroRequisito;trimestre;nomeProjeto;nomeFases
1;1;1;2,097899445;4,524177141;0,463708511;1;1;1;projeto1;elaboracao
1;1;1;4,516437294;1,090312287;4,142333666;2;2;1;projeto1;elaboracao
1;1;1;4,105284423;1,896280296;2,164914349;3;3;1;projeto1;elaboracao
1;1;1;4,495362286;1,304334268;3,446480243;4;4;1;projeto1;elaboracao
1;1;1;3,192555899;3,278652245;0,973740324;5;5;1;projeto1;elaboracao
1;1;1;1,533355752;3,198525917;0,479394506;6;6;1;projeto1;elaboracao
1;1;1;5,395639946;2,257206081;2,390406437;7;7;1;projeto1;elaboracao
1;1;1;2,846561051;3,086264579;0,922332152;8;8;1;projeto1;elaboracao
1;1;1;2,478458765;3,023388336;0,819761966;9;9;1;projeto1;elaboracao
1;1;1;1,66705805;3,388938054;0,491911632;10;10;1;projeto1;elaboracao
1;1;1;5,329168383;4,491217983;1,186575313;11;11;1;projeto1;elaboracao
1;1;1;5,295441076;3,397150798;1,558788935;12;12;1;projeto1;elaboracao
1;1;1;4,136225295;2,013003522;2,054753134;13;13;1;projeto1;elaboracao
1;1;1;4,440906732;4,191256653;1,059564493;14;14;1;projeto1;elaboracao
1;1;1;5,308950739;3,783143498;1,403317305;15;15;1;projeto1;elaboracao
1;1;1;4,719037361;1,181319963;3,994715666;16;16;1;projeto1;elaboracao
1;1;1;3,024173543;4,698318204;0,643671504;17;17;1;projeto1;elaboracao
1;1;1;5,644117994;3,602957342;1,56652368;18;18;1;projeto1;elaboracao
1;1;1;4,730502929;3,075263828;1,538242958;19;19;1;projeto1;elaboracao
1;1;1;2,147804458;4,269826707;0,503019117;20;20;1;projeto1;elaboracao
1;1;1;2,612356326;0,972742471;2,685558002;21;21;1;projeto1;elaboracao
1;1;1;3,052823434;1,496594452;2,03984682;22;22;1;projeto1;elaboracao
1;1;1;3,298850025;2,612964337;1,262493322;23;23;1;projeto1;elaboracao
1;1;1;2,68871732;1,002981404;2,680724996;24;24;1;projeto1;elaboracao
1;1;1;2,995617355;2,569307873;1,165923861;25;25;1;projeto1;elaboracao
1;1;1;4,767003204;2,629648382;1,812791108;26;26;1;projeto1;elaboracao
1;1;1;3,645887963;2,682693661;1,359039989;27;27;1;projeto1;elaboracao
1;1;1;2,000600913;3,644867206;0,548881701;28;28;1;projeto1;elaboracao
1;1;1;3,42227517;3,385329941;1,010913332;29;29;1;projeto1;elaboracao
1;1;1;4,311577106;2,617397046;1,647276676;30;30;1;projeto1;elaboracao
1;1;1;3,009294789;1,784816172;1,686053071;31;31;1;projeto1;elaboracao
1;1;1;5,259748788;1,371939932;3,833803993;32;32;1;projeto1;elaboracao
1;2;2;37,5925012;38,72074155;0,970862119;1;1;2;projeto1;implementacao
1;2;2;17,23918986;35,98279293;0,47909538;2;2;2;projeto1;implementacao
1;2;2;25,11841458;40,50263225;0,62016746;3;3;2;projeto1;implementacao
1;2;2;11,55098813;22,12632773;0,522047231;4;4;2;projeto1;implementacao
1;2;2;35,78015155;45,03793413;0,794444777;5;5;2;projeto1;implementacao
1;2;2;36,91726504;44,59619033;0,827812079;6;6;2;projeto1;implementacao
1;2;2;27,78876853;35,78646921;0,776516073;7;7;2;projeto1;implementacao
1;2;2;39,03957458;21,05627923;1,854058552;8;8;2;projeto1;implementacao
1;2;2;30,87527623;14,35853575;2,150308135;9;9;2;projeto1;implementacao
1;2;2;38,96934708;42,40691756;0,91893845;10;10;2;projeto1;implementacao
1;2;2;11,07789307;12,69138118;0,872867414;11;11;2;projeto1;implementacao
1;2;2;8,62487808;19,2665977;0,447659634;12;12;2;projeto1;implementacao
1;2;2;23,90281513;42,34414974;0,564489198;13;13;2;projeto1;implementacao
1;2;2;28,72582082;38,46546161;0,746795167;14;14;2;projeto1;implementacao
1;2;2;17,55386395;31,22493613;0,562174535;15;15;2;projeto1;implementacao
1;2;2;12,40797159;18,12744195;0,684485524;16;16;2;projeto1;implementacao
1;2;2;23,11092057;27,07430997;0,853610696;17;17;2;projeto1;implementacao
1;2;2;34,1615469;21,52900107;1,586768786;18;18;2;projeto1;implementacao
1;2;2;38,91185138;37,90084234;1,026675107;19;19;2;projeto1;implementacao
1;2;2;24,32711646;36,71881053;0,662524633;20;20;2;projeto1;implementacao
1;2;2;36,87802206;32,97231953;1,118453982;21;21;2;projeto1;implementacao
1;2;2;10,06887747;26,22785311;0,383900178;22;22;2;projeto1;implementacao
