sub,nomeF,responsavel,est,real,dataInicio,dataFim,numeroRequisito,trimestre,nomeProjeto,nomeFase
1,1,1,2.097899445,4.524177141,0.463708511,1,1,1,projeto1,elaboracao
1,1,1,4.516437294,1.090312287,4.142333666,2,2,1,projeto1,elaboracao
1,1,1,4.105284423,1.896280296,2.164914349,3,3,1,projeto1,elaboracao
1,1,1,4.495362286,1.304334268,3.446480243,4,4,1,projeto1,elaboracao
1,1,1,3.192555899,3.278652245,0.973740324,5,5,1,projeto1,elaboracao
1,1,1,1.533355752,3.198525917,0.479394506,6,6,1,projeto1,elaboracao
1,1,1,5.395639946,2.257206081,2.390406437,7,7,1,projeto1,elaboracao
1,1,1,2.846561051,3.086264579,0.922332152,8,8,1,projeto1,elaboracao
1,2,2,37.5925012,38.72074155,0.970862119,1,1,2,projeto1,implementacao
1,2,2,17.23918986,35.98279293,0.47909538,2,2,2,projeto1,implementacao
1,2,2,25.11841458,40.50263225,0.62016746,3,3,2,projeto1,implementacao
1,2,2,11.55098813,22.12632773,0.522047231,4,4,2,projeto1,implementacao
1,2,2,35.78015155,45.03793413,0.794444777,5,5,2,projeto1,implementacao
1,2,2,36.91726504,44.59619033,0.827812079,6,6,2,projeto1,implementacao
1,2,2,27.78876853,35.78646921,0.776516073,7,7,2,projeto1,implementacao
1,2,2,39.03957458,21.05627923,1.854058552,8,8,2,projeto1,implementacao
1,2,2,30.87527623,14.35853575,2.150308135,9,9,2,projeto1,implementacao
1,3,3,12.099542,8.951128493,1.351733695,1,1,3,projeto1,teste
1,3,3,6.656900473,11.43190796,0.582308788,2,2,3,projeto1,teste
1,3,3,13.18623908,10.10725338,1.304631297,3,3,3,projeto1,teste
1,3,3,13.10232254,6.916323293,1.89440574,4,4,3,projeto1,teste
1,4,4,7.192914894,1.949904948,3.688854116,1,1,4,projeto1,correcao
1,4,4,3.608875546,2.587988783,1.394471092,2,2,4,projeto1,correcao
1,4,4,3.698508818,4.783630664,0.773159359,8,8,4,projeto1,correcao
1,4,4,7.549433418,2.89685765,2.606076766,9,9,4,projeto1,correcao
2,1,1,7.630219725,6.189509046,1.232766552,1,1,1,projeto2,elaboracao
2,1,1,5.797508748,3.943894187,1.469996017,2,2,1,projeto2,elaboracao
2,1,1,3.89718728,3.954910087,0.985404774,22,22,1,projeto2,elaboracao
2,2,2,34.89977021,29.05608,1.201117639,1,1,2,projeto2,implementacao
2,2,2,52.31315573,84.59469459,0.618397596,2,2,2,projeto2,implementacao
2,2,2,81.10323675,93.23120019,0.869915185,3,3,2,projeto2,implementacao
2,3,3,18.50895819,15.28967018,1.210553137,22,22,3,projeto2,teste
2,4,4,12.17803933,1.972686107,6.173328481,1,1,4,projeto2,teste
2,4,4,10.08192133,13.14626904,0.766903621,2,2,4,projeto2,correcao
2,4,4,17.84226523,8.760346121,2.036707794,18,18,4,projeto2,correcao
2,4,4,13.88758954,3.514873575,3.951092193,19,19,4,projeto2,correcao
3,1,1,2.512831647,2.738807265,0.91749123,34,34,1,projeto3,elaboracao
3,1,1,2.910679325,0.951237153,3.059888183,35,35,1,projeto3,elaboracao
3,1,1,1.318707308,1.911350635,0.689934795,36,36,1,projeto3,elaboracao
3,1,1,1.474409965,1.883035635,0.782996316,37,37,1,projeto3,elaboracao
3,2,2,30.97752049,37.32718815,0.829891616,1,1,2,projeto3,implementacao
3,2,2,21.18720117,18.92318177,1.119642639,36,36,2,projeto3,implementacao
3,2,2,9.288197404,34.34899106,0.270406702,37,37,2,projeto3,implementacao
3,3,3,5.217545397,4.141123556,1.259934732,1,1,3,projeto3,teste
3,3,3,5.174114674,2.23773104,2.312214731,2,2,3,projeto3,teste
3,3,3,2.625655737,7.464440831,0.351755181,3,3,3,projeto3,teste
3,4,4,2.155402889,2.886388377,0.746747356,24,24,4,projeto3,correcao
3,4,4,4.397222917,1.609365169,2.732271706,25,25,4,projeto3,correcao
3,4,4,3.639756041,0.75220822,4.838761322,26,26,4,projeto3,correcao
4,1,1,9.598329237,12.49262989,0.768319347,22,22,1,projeto4,elaboracao
4,1,1,9.173812547,19.05933304,0.481329149,23,23,1,projeto4,elaboracao
4,1,1,19.13403804,19.24427234,0.994271838,24,24,1,projeto4,elaboracao
4,2,2,82.58326288,81.16396156,1.017486841,22,22,2,projeto4,implementacao
4,2,2,71.0772823,56.57413503,1.2563565,23,23,2,projeto4,implementacao
4,2,2,37.32857735,101.0934597,0.369248193,24,24,2,projeto4,implementacao
